event_id,dm,RA,Dec,is_in_DESI,DMhalo,DMISM,DM_Cosm,z
2839,650.6381835938 pc / cm3,225.3746898496,51.7196571459,True,40.0 pc / cm3,31.964854377117206 pc / cm3,578.6733292166828 pc / cm3,0.53171794555616
2840,222.0014801025 pc / cm3,205.7294274538,5.0454402834,True,40.0 pc / cm3,25.612513631479885 pc / cm3,156.38896647102013 pc / cm3,0.06703523759221502
2841,179.542175293 pc / cm3,179.941292818,49.3583631496,True,40.0 pc / cm3,27.79575414398508 pc / cm3,111.74642114901494 pc / cm3,0.013955101792449864
2842,680.9662475586 pc / cm3,216.4056635236,19.3477739585,True,40.0 pc / cm3,21.930722918044946 pc / cm3,619.0355246405551 pc / cm3,0.574489683050941
2843,403.1611328125 pc / cm3,219.025133209,51.7263683605,True,40.0 pc / cm3,31.0265861331673 pc / cm3,332.1345466793327 pc / cm3,0.26612087507998006
2844,418.5273742676 pc / cm3,219.3194283048,25.417482049,True,40.0 pc / cm3,21.544074456671357 pc / cm3,356.98329981092866 pc / cm3,0.29339955054212347
2845,522.4515380859 pc / cm3,197.3471123142,81.7227393607,True,40.0 pc / cm3,43.55936333461432 pc / cm3,438.89217475128567 pc / cm3,0.3823390960446928
2846,361.1062316895 pc / cm3,219.0998327761,56.8123990457,True,40.0 pc / cm3,31.964160653507317 pc / cm3,289.1420710359927 pc / cm3,0.2185160391705232
2847,341.6962585449 pc / cm3,183.6470728574,57.0758858584,True,40.0 pc / cm3,31.205895453021707 pc / cm3,270.4903630918783 pc / cm3,0.19768000090782425
2848,1111.2204589844 pc / cm3,192.238419516,45.1563843121,True,40.0 pc / cm3,24.29057957552891 pc / cm3,1046.929879408871 pc / cm3,1.0249666009756386
2849,402.7567749023 pc / cm3,256.1103916332,63.7372182255,True,40.0 pc / cm3,41.64166046795729 pc / cm3,321.1151144343427 pc / cm3,0.25397123578878944
2850,308.9419555664 pc / cm3,294.7472148447,48.2521078755,False,40.0 pc / cm3,105.91340145240896 pc / cm3,163.02855411399105 pc / cm3,0.07481906955040465
2851,1143.5704345703 pc / cm3,356.0600932112,66.6992652013,False,40.0 pc / cm3,178.7606663056931 pc / cm3,924.8097682646069 pc / cm3,0.8964887942238504
2852,1711.3118896484 pc / cm3,154.11196102,27.0910199483,True,40.0 pc / cm3,34.32277452120191 pc / cm3,1636.9891151271981 pc / cm3,1.6477945231814428
2853,960.7932739258 pc / cm3,114.8022031164,49.3318747681,True,40.0 pc / cm3,57.42686600175284 pc / cm3,863.3664079240472 pc / cm3,0.8318933672375025
2854,230.4933319092 pc / cm3,257.7190601488,34.122106089,True,40.0 pc / cm3,43.825120941152086 pc / cm3,146.66821096804793 pc / cm3,0.05559044570452583
2855,1675.7269287109 pc / cm3,290.5056922409,8.6960856159,False,40.0 pc / cm3,495.40003020905743 pc / cm3,1140.3268985018426 pc / cm3,1.1231889852402919
2856,1016.5969238281 pc / cm3,142.1757188765,61.469306586,True,40.0 pc / cm3,40.18696961468639 pc / cm3,936.4099542134136 pc / cm3,0.9086862396020794
